Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
30-04-2015,INFY,EQ,1961.15,1960,1965,1932.3,1943.5,1942.25,1943.45,3283565,6.38145E+14,97827,2471787,0.7528
04-05-2015,INFY,EQ,1942.25,1959.5,2000,1949.9,1992.25,1993.1,1970.92,3340398,6.58367E+14,112574,2455960,0.7352
05-05-2015,INFY,EQ,1993.1,2000,2003.7,1952.05,1964.5,1962.75,1970.79,2352129,4.63554E+14,133092,1723835,0.7329
06-05-2015,INFY,EQ,1962.75,1975,1975,1915.3,1924,1922.05,1931.49,2627102,5.07423E+14,94364,1893805,0.7209
07-05-2015,INFY,EQ,1922.05,1922,1967.1,1910,1940,1944,1942.88,1694996,3.29317E+14,68774,920685,0.5432
08-05-2015,INFY,EQ,1944,1958,1967.55,1945.25,1962.1,1957.95,1956.49,1444419,2.82599E+14,60514,1039019,0.7193
11-05-2015,INFY,EQ,1957.95,1965,2000,1952.2,1995.95,1993.65,1980.94,1196378,2.36996E+14,54180,780920,0.6527
12-05-2015,INFY,EQ,1993.65,1993.65,1994.6,1942,1946.9,1947.1,1954.77,2071223,4.04876E+14,88184,1594221,0.7697
13-05-2015,INFY,EQ,1947.1,1951.75,1964.9,1928.5,1957.65,1956.7,1949.12,1774771,3.45924E+14,55815,1134772,0.6394
14-05-2015,INFY,EQ,1956.7,1960,1960.8,1908,1935,1934.8,1929.44,1558461,3.00696E+14,82817,1061424,0.6811
15-05-2015,INFY,EQ,1934.8,1935,1966.6,1932.3,1958.9,1961.75,1952.36,1297336,2.53287E+14,78808,942026,0.7261
18-05-2015,INFY,EQ,1961.75,1970,1998.9,1961.6,1997,1993.05,1981.93,1617494,3.20577E+14,72296,1302884,0.8055
19-05-2015,INFY,EQ,1993.05,1987.3,2035.7,1986,2022.2,2022.35,2016.44,2568019,5.17825E+14,73141,1648122,0.6418
20-05-2015,INFY,EQ,2022.35,2040,2052,2033.6,2049.9,2047.3,2045.73,1470547,3.00834E+14,63706,1097201,0.7461
21-05-2015,INFY,EQ,2047.3,2048.9,2061.9,2037.25,2048,2048.45,2046.72,2514828,5.14716E+14,99082,2145570,0.8532
22-05-2015,INFY,EQ,2048.45,2044,2051.55,2030.1,2041.9,2046.45,2043.07,1722206,3.51859E+14,78526,1238289,0.719
25-05-2015,INFY,EQ,2046.45,2050.5,2056.55,2007.05,2021,2016.8,2029.47,1168952,2.37235E+14,62183,816181,0.6982
26-05-2015,INFY,EQ,2016.8,2020,2031.45,2002.15,2006,2007.3,2015.66,991260,1.99804E+14,37399,708879,0.7151
27-05-2015,INFY,EQ,2007.3,2007,2009,1955,1973,1968.5,1966.93,2113677,4.15745E+14,114474,1609349,0.7614
28-05-2015,INFY,EQ,1968.5,1975.2,2032,1975.2,2000,2016.6,2000.26,2745135,5.491E+14,97941,2013171,0.7334
29-05-2015,INFY,EQ,2016.6,2004.85,2056.45,2001,2029.8,2023.15,2024.5,4748261,9.61287E+14,121421,3809831,0.8024
01-06-2015,INFY,EQ,2023.15,2032.8,2064,2023.25,2042,2047.8,2048.1,1431223,2.93128E+14,62717,1029588,0.7194
02-06-2015,INFY,EQ,2047.8,2048.1,2055.1,2005,2013,2008.65,2018.63,1168285,2.35833E+14,67384,793960,0.6796
03-06-2015,INFY,EQ,2008.65,2018.2,2039.45,2008,2032,2020.9,2019.78,1373949,2.77507E+14,50402,824814,0.6003
04-06-2015,INFY,EQ,2020.9,2030,2055,2012.6,2028.1,2028.05,2036.59,1872366,3.81325E+14,98562,1395596,0.7454
05-06-2015,INFY,EQ,2028.05,2030,2044,2008.15,2011.5,2011.65,2020.89,1531447,3.09488E+14,61438,1014160,0.6622
08-06-2015,INFY,EQ,2011.65,2020,2024.65,1987,2002,2000.05,2000.16,1535262,3.07077E+14,59889,1161814,0.7568
09-06-2015,INFY,EQ,2000.05,2003.75,2007.65,1983,1990.55,1992.1,1992.62,1890435,3.76691E+14,81812,1549457,0.8196
10-06-2015,INFY,EQ,1992.1,1990,2039.35,1985,2027,2026.5,2012.03,1596460,3.21212E+14,76174,1040342,0.6517
11-06-2015,INFY,EQ,2026.5,2035.95,2044.75,1995.05,2000,1997.65,2010.91,2307366,4.63991E+14,69953,1541863,0.6682
12-06-2015,INFY,EQ,1997.65,2005,2025.55,1955.5,1978.05,1975.05,1991.32,2463231,4.90509E+14,104931,1463562,0.5942
15-06-2015,INFY,EQ,1975.05,976.95,998.8,968,994,990.45,990.17,2618213,2.59249E+14,84843,1444754,0.5518
16-06-2015,INFY,EQ,990.45,994.35,1003,985,998,999.35,995.31,2611722,2.59948E+14,75473,1962337,0.7514
17-06-2015,INFY,EQ,999.35,1011,1021,992.2,997.2,995.7,1002.05,3206034,3.21262E+14,73928,1703033,0.5312
18-06-2015,INFY,EQ,995.7,1005.6,1007.95,995.8,1000.05,1001.95,1001.7,1737213,1.74016E+14,40621,1143722,0.6584
19-06-2015,INFY,EQ,1001.95,1010.3,1010.4,993.1,997,995.35,998.9,3335229,3.33155E+14,97129,2599496,0.7794
22-06-2015,INFY,EQ,995.35,1004.9,1028.75,997,1022.7,1023.85,1011.41,2855434,2.888E+14,133708,1721657,0.6029
23-06-2015,INFY,EQ,1023.85,1025,1027.4,998.15,1001.45,1000.4,1004.3,3476058,3.49099E+14,119559,2467215,0.7098
24-06-2015,INFY,EQ,1000.4,1015,1015,991.2,995.1,995.1,1002,3536847,3.54393E+14,74881,2630595,0.7438
25-06-2015,INFY,EQ,995.1,999.2,1003.5,987.65,993.35,990.45,993.86,3558733,3.53689E+14,75358,2394368,0.6728
26-06-2015,INFY,EQ,990.45,999,1011.6,998.1,1005.9,1005.25,1005.91,2660142,2.67585E+14,63866,1712608,0.6438
29-06-2015,INFY,EQ,1005.25,987,999.5,982.5,990.4,990.15,989.98,2845334,2.81683E+14,76492,2125823,0.7471
30-06-2015,INFY,EQ,990.15,990,993.45,980,987.5,984.35,986.73,3106265,3.06505E+14,71225,2281573,0.7345
01-07-2015,INFY,EQ,984.35,989,1005,986,998.95,997.4,995.12,3440426,3.42365E+14,80010,2461395,0.7154
02-07-2015,INFY,EQ,997.4,999,1001.4,985.05,988.5,988,989.52,2003784,1.98278E+14,78544,1336220,0.6668
03-07-2015,INFY,EQ,988,988,993,982,990.4,990.3,989.7,1347653,1.33378E+14,35728,855211,0.6346
06-07-2015,INFY,EQ,990.3,985,988,975,981.75,983.3,981.33,2152801,2.11261E+14,60404,1475832,0.6855
07-07-2015,INFY,EQ,983.3,985,990,979,981,980.5,985,1748709,1.72248E+14,58985,1256080,0.7183
08-07-2015,INFY,EQ,980.5,979,979,954.8,957.45,957.5,962.49,3512089,3.38033E+14,109474,2565864,0.7306
09-07-2015,INFY,EQ,957.5,957.5,966,934.05,940.25,938,942.64,4293886,4.04761E+14,138299,2935843,0.6837
10-07-2015,INFY,EQ,938,948.1,952.1,932.65,935.5,937.5,941.18,3705761,3.48781E+14,134681,2959698,0.7987
13-07-2015,INFY,EQ,937.5,941,955,934.05,950.6,950.15,945.97,3265884,3.08942E+14,84133,2399679,0.7348
14-07-2015,INFY,EQ,950.15,955,973.5,945.5,970,971.25,961.36,2683537,2.57986E+14,76138,1776741,0.6621
15-07-2015,INFY,EQ,971.25,970,985.95,968,984.45,984,980.66,2064783,2.02484E+14,74801,1311520,0.6352
16-07-2015,INFY,EQ,984,987.7,991.5,979.5,990,989.05,987.36,1736469,1.71452E+14,52615,995275,0.5732
17-07-2015,INFY,EQ,989.05,991,1004.5,989.1,999.75,1001.85,997.46,1723989,1.71962E+14,59447,1003912,0.5823
20-07-2015,INFY,EQ,1001.85,1001.4,1010.8,987.4,997,1001.25,998.95,2188590,2.18629E+14,74145,1054982,0.482
21-07-2015,INFY,EQ,1001.25,1035,1149,1035,1116.35,1112.65,1099.62,19155056,2.10634E+15,408583,9575992,0.4999
22-07-2015,INFY,EQ,1112.65,1105,1112,1076.65,1100,1103.15,1100.68,6332830,6.97041E+14,221999,3840750,0.6065
23-07-2015,INFY,EQ,1103.15,1103.95,1117,1090,1094.45,1098,1106.23,3855374,4.26492E+14,166660,2123663,0.5508
24-07-2015,INFY,EQ,1098,1095.55,1106.45,1083.1,1088,1087.6,1090.71,2240151,2.44335E+14,100221,1424342,0.6358
27-07-2015,INFY,EQ,1087.6,1086.9,1087.95,1060.45,1065,1065.3,1073.34,3376122,3.62372E+14,175039,2443586,0.7238
28-07-2015,INFY,EQ,1065.3,1068.5,1076,1054.25,1066.1,1062.85,1066.58,4238301,4.5205E+14,150481,2952854,0.6967
